unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount
1607817600000,2020-12-13 00:00:00,BTC/USDT,18800.00,19432.00,18705.46,19175.07,239760.089,4594353525.45600,1182585
1607731200000,2020-12-12 00:00:00,BTC/USDT,18031.71,18950.00,18012.21,18800.00,196962.282,3641762062.74761,1080853
1607644800000,2020-12-11 00:00:00,BTC/USDT,18254.00,18290.44,17555.00,18031.47,317866.070,5689740183.80654,1563578
1607558400000,2020-12-10 00:00:00,BTC/USDT,18537.97,18550.00,17916.00,18253.51,233960.241,4271592591.33380,1241586
1607472000000,2020-12-09 00:00:00,BTC/USDT,18319.33,18639.70,17650.00,18537.98,353123.689,6424799134.15169,1673883
1607385600000,2020-12-08 00:00:00,BTC/USDT,19172.87,19319.38,18133.33,18319.32,280714.132,5279747287.14345,1351027
1607299200000,2020-12-07 00:00:00,BTC/USDT,19375.00,19446.36,18908.66,19172.88,169402.371,3249551714.47632,926894
1607212800000,2020-12-06 00:00:00,BTC/USDT,19147.63,19449.10,18855.35,19375.02,176004.606,3370639869.06208,943780
1607126400000,2020-12-05 00:00:00,BTC/USDT,18662.72,19203.46,18510.00,19147.62,165912.647,3145507861.15582,946103
1607040000000,2020-12-04 00:00:00,BTC/USDT,19432.66,19537.16,18570.00,18664.20,276271.939,5260370304.16580,1376095
1606953600000,2020-12-03 00:00:00,BTC/USDT,19207.01,19640.00,18865.00,19434.30,245020.576,4724323628.54077,1272309
1606867200000,2020-12-02 00:00:00,BTC/USDT,18770.33,19365.00,18329.58,19207.01,335717.482,6352815848.93350,1606530
1606780800000,2020-12-01 00:00:00,BTC/USDT,19722.09,19956.00,18050.00,18772.70,553885.333,10601482195.21762,2558348
1606694400000,2020-11-30 00:00:00,BTC/USDT,18180.43,19944.00,18178.82,19720.00,500482.574,9568806966.58092,2089768
1606608000000,2020-11-29 00:00:00,BTC/USDT,17717.74,18343.00,17523.00,18181.09,256024.006,4609730542.10836,1125785
1606521600000,2020-11-28 00:00:00,BTC/USDT,17144.11,17880.00,16865.78,17717.74,268833.749,4666900540.00932,1129925
1606435200000,2020-11-27 00:00:00,BTC/USDT,17155.37,17465.00,16444.83,17144.10,398072.933,6748491428.31569,1639548
1606348800000,2020-11-26 00:00:00,BTC/USDT,18741.66,18940.69,16181.00,17155.34,850692.856,14698559977.07114,3571835
1606262400000,2020-11-25 00:00:00,BTC/USDT,19178.53,19554.19,18509.12,18741.67,426276.990,8117262497.74923,1821978
1606176000000,2020-11-24 00:00:00,BTC/USDT,18382.07,19440.00,18000.00,19179.64,477968.289,9042446485.58226,2009567
1606089600000,2020-11-23 00:00:00,BTC/USDT,18434.17,18812.65,18013.97,18382.07,364221.378,6718716197.90407,1558298
1606003200000,2020-11-22 00:00:00,BTC/USDT,18721.99,18780.00,17645.98,18435.20,373779.417,6856294687.86623,1611056
1605916800000,2020-11-21 00:00:00,BTC/USDT,18662.85,18986.00,18302.08,18721.99,342412.490,6408035133.45486,1467289
1605830400000,2020-11-20 00:00:00,BTC/USDT,17811.68,18831.60,17748.92,18664.31,407926.802,7497709362.56215,1699255
1605744000000,2020-11-19 00:00:00,BTC/USDT,17788.32,18200.00,17347.27,17811.68,406500.977,7243709977.39353,1642647
1605657600000,2020-11-18 00:00:00,BTC/USDT,17670.01,18520.00,17215.03,17788.32,732937.097,13108477651.19909,2750334
1605571200000,2020-11-17 00:00:00,BTC/USDT,16707.00,17890.10,16550.00,17670.01,524094.697,9050160241.00472,2012288
1605484800000,2020-11-16 00:00:00,BTC/USDT,15951.93,16882.00,15862.00,16707.07,342459.329,5627638531.07377,1452989
1605398400000,2020-11-15 00:00:00,BTC/USDT,16064.51,16161.23,15768.00,15952.27,210318.453,3359401680.11398,1160914
1605312000000,2020-11-14 00:00:00,BTC/USDT,16320.54,16326.82,15700.00,16064.51,266206.937,4251500067.66192,1235238
1605225600000,2020-11-13 00:00:00,BTC/USDT,16289.01,16479.99,15955.60,16320.54,306656.359,4984405298.81905,1405591
1605139200000,2020-11-12 00:00:00,BTC/USDT,15690.24,16345.00,15437.70,16289.02,471759.126,7523910248.89960,1927371
1605052800000,2020-11-11 00:00:00,BTC/USDT,15294.68,16000.00,15274.89,15690.24,330772.852,5177231131.45298,1387218
1604966400000,2020-11-10 00:00:00,BTC/USDT,15328.72,15474.17,15071.00,15294.68,244073.495,3732294398.38728,1109192
1604880000000,2020-11-09 00:00:00,BTC/USDT,15473.20,15869.00,14822.00,15328.72,474181.983,7271506165.70421,1801578
1604793600000,2020-11-08 00:00:00,BTC/USDT,14824.33,15678.00,14710.00,15473.20,290616.393,4428801810.67248,1188596
1604707200000,2020-11-07 00:00:00,BTC/USDT,15590.95,15774.00,14350.00,14824.34,457582.681,6921481478.48889,1783469
1604620800000,2020-11-06 00:00:00,BTC/USDT,15598.74,15984.20,15177.00,15590.96,559380.060,8719764932.89141,2067927
1604534400000,2020-11-05 00:00:00,BTC/USDT,14134.32,15777.00,14088.01,15598.75,717489.697,10661964053.31626,2418730
1604448000000,2020-11-04 00:00:00,BTC/USDT,14016.55,14280.00,13512.00,14134.31,451433.420,6269163703.99695,1677175
1604361600000,2020-11-03 00:00:00,BTC/USDT,13541.55,14070.00,13276.33,14016.55,348730.510,4748953992.22126,1303446
1604275200000,2020-11-02 00:00:00,BTC/USDT,13752.87,13823.75,13195.00,13540.54,327991.768,4433952125.46344,1222326
1604188800000,2020-11-01 00:00:00,BTC/USDT,13783.73,13891.52,13605.90,13752.86,198395.231,2727415103.81043,885249
1604102400000,2020-10-31 00:00:00,BTC/USDT,13549.12,14140.00,13403.36,13783.73,357853.230,4923864620.90212,1344037
1604016000000,2020-10-30 00:00:00,BTC/USDT,13446.65,13665.65,13100.00,13549.12,349890.573,4684549159.29936,1245765
1603929600000,2020-10-29 00:00:00,BTC/USDT,13255.79,13637.22,12965.00,13446.65,355352.336,4735209655.61303,1247634
1603843200000,2020-10-28 00:00:00,BTC/USDT,13629.89,13863.00,12876.00,13256.17,476993.789,6377260018.41431,1564676
1603756800000,2020-10-27 00:00:00,BTC/USDT,13047.24,13787.83,13041.30,13629.38,411509.506,5533418976.94019,1299183
1603670400000,2020-10-26 00:00:00,BTC/USDT,13024.21,13240.00,12729.00,13047.24,316503.296,4121218762.83565,1105825
1603584000000,2020-10-25 00:00:00,BTC/USDT,13110.88,13369.00,12715.00,13023.81,206012.652,2690867875.55715,889235
1603497600000,2020-10-24 00:00:00,BTC/USDT,12925.82,13177.59,12871.07,13110.88,176146.631,2296046388.61355,801400
1603411200000,2020-10-23 00:00:00,BTC/USDT,12970.39,13043.00,12725.04,12925.82,237042.526,3059965867.59326,897416
1603324800000,2020-10-22 00:00:00,BTC/USDT,12796.06,13188.27,12675.50,12968.87,343851.666,4448237306.19638,1232587
1603238400000,2020-10-21 00:00:00,BTC/USDT,11900.03,13240.00,11876.00,12796.07,591963.069,7435850474.64387,1870576
1603152000000,2020-10-20 00:00:00,BTC/USDT,11744.99,12045.78,11673.00,11900.03,312811.802,3710691439.20796,1059398
1603065600000,2020-10-19 00:00:00,BTC/USDT,11501.50,11830.00,11404.01,11745.00,230161.648,2677138464.51185,770332
1602979200000,2020-10-18 00:00:00,BTC/USDT,11356.25,11529.93,11342.54,11501.10,92472.191,1056889045.95337,444193
1602892800000,2020-10-17 00:00:00,BTC/USDT,11319.51,11424.09,11250.00,11356.25,95892.966,1086838512.10945,459443
1602806400000,2020-10-16 00:00:00,BTC/USDT,11502.00,11538.92,11175.00,11318.92,212339.085,2406176538.70338,725825
1602720000000,2020-10-15 00:00:00,BTC/USDT,11417.12,11649.48,11250.00,11502.00,215260.399,2455108608.64026,768321
1602633600000,2020-10-14 00:00:00,BTC/USDT,11419.36,11550.00,11280.50,11417.13,192936.970,2198967087.67917,694620
1602547200000,2020-10-13 00:00:00,BTC/USDT,11530.37,11562.00,11308.00,11419.36,199115.115,2276664144.17067,693780
1602460800000,2020-10-12 00:00:00,BTC/USDT,11369.59,11732.00,11157.00,11530.36,254217.203,2913019650.11615,781051
1602374400000,2020-10-11 00:00:00,BTC/USDT,11294.78,11450.73,11273.77,11369.59,146323.076,1662984690.97067,587941
1602288000000,2020-10-10 00:00:00,BTC/USDT,11050.46,11494.00,11050.46,11294.79,199398.012,2259937270.69761,731572
1602201600000,2020-10-09 00:00:00,BTC/USDT,10919.45,11110.00,10818.44,11050.47,154336.818,1697348173.83417,640685
1602115200000,2020-10-08 00:00:00,BTC/USDT,10658.75,10958.00,10523.00,10919.45,207938.861,2236764143.48042,754390
1602028800000,2020-10-07 00:00:00,BTC/USDT,10593.65,10675.00,10540.29,10658.75,106700.522,1132125130.95176,502888
1601942400000,2020-10-06 00:00:00,BTC/USDT,10784.99,10792.00,10510.66,10593.65,184895.250,1971152604.95732,699471
1601856000000,2020-10-05 00:00:00,BTC/USDT,10660.16,10792.00,10608.90,10785.00,130589.137,1397359152.98443,593867
1601769600000,2020-10-04 00:00:00,BTC/USDT,10537.96,10694.00,10514.00,10660.16,90912.105,964435994.41114,492034
1601683200000,2020-10-03 00:00:00,BTC/USDT,10565.44,10596.00,10491.11,10537.96,76315.911,804408980.87426,434460
1601596800000,2020-10-02 00:00:00,BTC/USDT,10612.62,10660.00,10371.03,10565.15,224747.037,2359977989.11924,764820
1601510400000,2020-10-01 00:00:00,BTC/USDT,10773.00,10935.14,10442.00,10612.63,253619.622,2711075914.61540,794540
1601424000000,2020-09-30 00:00:00,BTC/USDT,10836.99,10845.99,10660.05,10773.00,132834.116,1425790131.97503,527339
1601337600000,2020-09-29 00:00:00,BTC/USDT,10691.94,10863.94,10631.49,10836.98,146888.319,1575829644.66364,560608
1601251200000,2020-09-28 00:00:00,BTC/USDT,10768.00,11024.00,10627.19,10691.45,187105.377,2031385663.34365,652011
1601164800000,2020-09-27 00:00:00,BTC/USDT,10726.50,10793.50,10584.00,10768.00,123440.716,1321161006.11611,540964
1601078400000,2020-09-26 00:00:00,BTC/USDT,10683.50,10827.80,10642.23,10726.50,109340.491,1171569532.33158,553316
1600992000000,2020-09-25 00:00:00,BTC/USDT,10724.91,10754.29,10551.56,10683.51,170930.773,1820637897.43936,658581
